,year,name,value,lastValue,rank
0,1990.0,Am I good?,1.0,1.0,1
1,1990.0,Using chopsticks,1.0,1.0,2
2,1990.0,"Oh no, THIS is grown up",1.0,1.0,3
3,1990.0,Oversized t-shirts,1.0,1.0,4
4,1990.0,RUNNING,1.0,1.0,5
5,1990.0,Rap,1.0,1.0,6
6,1990.0,Teeth are the worst,1.0,1.0,7
7,1990.0,The dark?,1.0,1.0,8
8,1990.0,Trampolines,1.0,1.0,9
9,1990.0,Travel,1.0,1.0,10
10,1990.0,Tying my shoes,1.0,1.0,11
11,1990.0,Walking,1.0,1.0,12
12,1990.0,Bored. I might make noise,1.0,1.0,13
13,1990.0,We MUST meet up more,1.0,1.0,14
14,1990.0,What colour is that?,1.0,1.0,15
15,1990.0,What is KPI?,1.0,1.0,16
16,1990.0,What is that smell?,1.0,1.0,17
17,1990.0,When will I grow up?,1.0,1.0,18
18,1990.0,Who the f**k is this?,1.0,1.0,19
19,1990.0,Who the frick is this?,1.0,1.0,20
20,1990.0,Why does my skin hate me?,1.0,1.0,21
21,1990.0,Women (fearful),1.0,1.0,22
22,1990.0,Not learning languages,1.0,1.0,23
23,1990.0,"No, don't carry me there",1.0,1.0,24
24,1990.0,Need a nap,1.0,1.0,25
25,1990.0,My toy,1.0,1.0,26
26,1990.0,Brexit,1.0,1.0,27
27,1990.0,Bugs,1.0,1.0,28
28,1990.0,Cartoons,1.0,1.0,29
29,1990.0,Chewing,1.0,1.0,30
30,1990.0,Eugh these clothes,1.0,1.0,31
31,1990.0,Everyone is racist?,1.0,1.0,32
32,1990.0,Exams,1.0,1.0,33
33,1990.0,Food/drink,1.0,1.0,34
34,1990.0,Games,1.0,1.0,35
35,1990.0,Getting swole,1.0,1.0,36
36,1990.0,Harry Potter,1.0,1.0,37
37,1990.0,Have I pooped myself?,1.0,1.0,38
38,1990.0,Hreflang,1.0,1.0,39
39,1990.0,I don't know anything,1.0,1.0,40
40,1990.0,I know pretty much everything,1.0,1.0,41
41,1990.0,I'm going to be sick,1.0,1.0,42
42,1990.0,Jupyter,1.0,1.0,43
43,1990.0,Loud noises,1.0,1.0,44
44,1990.0,Money,1.0,1.0,45
45,1990.0,Women (interested),1.0,1.0,46
0,1990.1,Need a nap,2295.0,1.0,1
1,1990.1,Food/drink,1583.0,1.0,2
2,1990.1,What is that smell?,1191.0,1.0,3
3,1990.1,What colour is that?,1119.0,1.0,4
4,1990.1,Have I pooped myself?,954.0,1.0,5
5,1990.1,I'm going to be sick,634.0,1.0,6
6,1990.1,"No, don't carry me there",533.0,1.0,7
7,1990.1,Bugs,279.0,1.0,8
8,1990.1,Loud noises,174.0,1.0,9
9,1990.1,Cartoons,98.0,1.0,10
10,1990.1,Who the frick is this?,98.0,1.0,11
11,1990.1,Trampolines,91.0,1.0,12
12,1990.1,Women (fearful),87.0,1.0,13
13,1990.1,Women (interested),85.0,1.0,14
14,1990.1,I don't know anything,82.0,1.0,15
15,1990.1,Everyone is racist?,79.0,1.0,16
16,1990.1,Exams,79.0,1.0,17
17,1990.1,Brexit,76.0,1.0,18
18,1990.1,Not learning languages,75.0,1.0,19
19,1990.1,Walking,74.0,1.0,20
20,1990.1,Jupyter,72.0,1.0,21
21,1990.1,Why does my skin hate me?,71.0,1.0,22
22,1990.1,My toy,71.0,1.0,23
23,1990.1,Using chopsticks,65.0,1.0,24
24,1990.1,When will I grow up?,63.0,1.0,25
25,1990.1,Am I good?,61.0,1.0,26
26,1990.1,Money,61.0,1.0,27
27,1990.1,We MUST meet up more,60.0,1.0,28
28,1990.1,Who the f**k is this?,58.0,1.0,29
29,1990.1,Tying my shoes,56.0,1.0,30
30,1990.1,Rap,49.0,1.0,31
31,1990.1,I know pretty much everything,48.0,1.0,32
32,1990.1,What is KPI?,47.0,1.0,33
33,1990.1,"Oh no, THIS is grown up",46.0,1.0,34
34,1990.1,The dark?,45.0,1.0,35
35,1990.1,Chewing,41.0,1.0,36
36,1990.1,Travel,33.0,1.0,37
37,1990.1,Eugh these clothes,27.0,1.0,38
38,1990.1,Games,27.0,1.0,39
39,1990.1,RUNNING,24.0,1.0,40
40,1990.1,Oversized t-shirts,24.0,1.0,41
41,1990.1,Teeth are the worst,22.0,1.0,42
42,1990.1,Getting swole,16.0,1.0,43
43,1990.1,Harry Potter,14.0,1.0,44
44,1990.1,Bored. I might make noise,5.0,1.0,45
45,1990.1,Hreflang,5.0,1.0,46
0,1990.2,Need a nap,6362.0,2295.0,1
1,1990.2,Food/drink,6038.0,1583.0,2
2,1990.2,What colour is that?,4644.0,1119.0,3
3,1990.2,What is that smell?,3503.0,1191.0,4
4,1990.2,Who the frick is this?,3024.0,98.0,5
5,1990.2,Have I pooped myself?,2699.0,954.0,6
6,1990.2,I'm going to be sick,1965.0,634.0,7
7,1990.2,"No, don't carry me there",1852.0,533.0,8
8,1990.2,Bugs,1780.0,279.0,9
9,1990.2,Loud noises,1338.0,174.0,10
10,1990.2,My toy,833.0,71.0,11
11,1990.2,Eugh these clothes,700.0,27.0,12
12,1990.2,Walking,157.0,74.0,13
13,1990.2,Exams,154.0,79.0,14
14,1990.2,Am I good?,147.0,61.0,15
15,1990.2,I know pretty much everything,138.0,48.0,16
16,1990.2,Women (interested),135.0,85.0,17
17,1990.2,Cartoons,132.0,98.0,18
18,1990.2,The dark?,131.0,45.0,19
19,1990.2,Women (fearful),128.0,87.0,20
20,1990.2,I don't know anything,126.0,82.0,21
21,1990.2,Games,121.0,27.0,22
22,1990.2,When will I grow up?,121.0,63.0,23
23,1990.2,Why does my skin hate me?,115.0,71.0,24
24,1990.2,Using chopsticks,110.0,65.0,25
25,1990.2,Everyone is racist?,107.0,79.0,26
26,1990.2,We MUST meet up more,106.0,60.0,27
27,1990.2,"Oh no, THIS is grown up",105.0,46.0,28
28,1990.2,Hreflang,105.0,5.0,29
29,1990.2,Trampolines,91.0,91.0,30
30,1990.2,Jupyter,90.0,72.0,31
31,1990.2,Getting swole,89.0,16.0,32
32,1990.2,Chewing,88.0,41.0,33
33,1990.2,Tying my shoes,85.0,56.0,34
34,1990.2,Not learning languages,83.0,75.0,35
35,1990.2,What is KPI?,83.0,47.0,36
36,1990.2,Brexit,77.0,76.0,37
37,1990.2,Travel,76.0,33.0,38
38,1990.2,Teeth are the worst,69.0,22.0,39
39,1990.2,Who the f**k is this?,69.0,58.0,40
40,1990.2,Rap,65.0,49.0,41
41,1990.2,Money,64.0,61.0,42
42,1990.2,Oversized t-shirts,57.0,24.0,43
43,1990.2,RUNNING,45.0,24.0,44
44,1990.2,Bored. I might make noise,34.0,5.0,45
45,1990.2,Harry Potter,14.0,14.0,46
0,1990.3,Have I pooped myself?,24600.0,2699.0,1
1,1990.3,What is that smell?,23384.0,3503.0,2
2,1990.3,I'm going to be sick,13528.0,1965.0,3
3,1990.3,"No, don't carry me there",11564.0,1852.0,4
4,1990.3,Bugs,11032.0,1780.0,5
5,1990.3,Food/drink,10628.0,6038.0,6
6,1990.3,Need a nap,10412.0,6362.0,7
7,1990.3,Loud noises,9224.0,1338.0,8
8,1990.3,What colour is that?,8410.0,4644.0,9
9,1990.3,Who the frick is this?,4112.0,3024.0,10
10,1990.3,My toy,2036.0,833.0,11
11,1990.3,Eugh these clothes,1597.0,700.0,12
12,1990.3,Exams,232.0,154.0,13
13,1990.3,Am I good?,217.0,147.0,14
14,1990.3,Games,215.0,121.0,15
15,1990.3,Women (fearful),207.0,128.0,16
16,1990.3,Why does my skin hate me?,207.0,115.0,17
17,1990.3,The dark?,206.0,131.0,18
18,1990.3,I don't know anything,205.0,126.0,19
19,1990.3,Hreflang,187.0,105.0,20
20,1990.3,Walking,181.0,157.0,21
21,1990.3,Using chopsticks,181.0,110.0,22
22,1990.3,"Oh no, THIS is grown up",174.0,105.0,23
23,1990.3,Getting swole,172.0,89.0,24
24,1990.3,Tying my shoes,170.0,85.0,25
25,1990.3,Brexit,165.0,77.0,26
26,1990.3,Trampolines,160.0,91.0,27
