,year,name,value,lastValue,rank,start
0,1991.9,Food/drink,109749.26518702449,108759.75830340355,1,True
1,1991.9,Need a nap,100693.90515369625,99926.44040087465,2,True
2,1991.9,What colour is that?,93806.90695546837,93090.13611400299,3,True
3,1991.9,What is that smell?,88018.49140584203,87335.04145316029,4,True
4,1991.9,Have I pooped myself?,80655.05697169065,79771.38608055357,5,True
5,1991.9,I'm going to be sick,80504.12240500744,79951.52469371315,6,True
6,1991.9,"No, don't carry me there",27689.128433294914,27535.862942357155,7,True
7,1991.9,The meaning of life,22822.05840686743,22586.52316181316,8,True
8,1991.9,Loud noises,18330.609268602784,18170.198403032748,9,True
9,1991.9,Light,13591.37574293054,13522.307359117167,10,True
10,1991.9,I'm cold,9005.047239669246,8952.939233818282,11,True
11,1991.9,Not supporting my own head,4441.824109499391,4428.580942627284,12,True
12,1991.9,Not learning languages,2068.520930367051,2012.5737684559053,13,True
13,1991.9,Teeth are the worst,2068.520930367051,2012.5737684559053,14,True
14,1991.9,"Oh no, THIS is grown up",2068.520930367051,2012.5737684559053,15,True
15,1991.9,Oversized t-shirts,2068.520930367051,2012.5737684559053,16,True
16,1991.9,RUNNING,2068.520930367051,2012.5737684559053,17,True
17,1991.9,Alcohol,2068.520930367051,2012.5737684559053,18,True
18,1991.9,The dark?,2068.520930367051,2012.5737684559053,19,True
19,1991.9,My toy,2068.520930367051,2012.5737684559053,20,True
20,1991.9,Travel,2068.520930367051,2012.5737684559053,21,True
21,1991.9,Tying my shoes,2068.520930367051,2012.5737684559053,22,True
22,1991.9,Using chopsticks,2068.520930367051,2012.5737684559053,23,True
23,1991.9,Walking,2068.520930367051,2012.5737684559053,24,True
24,1991.9,We MUST meet up more,2068.520930367051,2012.5737684559053,25,True
25,1991.9,What is a KPI?,2068.520930367051,2012.5737684559053,26,True
26,1991.9,When will I grow up?,2068.520930367051,2012.5737684559053,27,True
27,1991.9,Who the f**k is this?,2068.520930367051,2012.5737684559053,28,True
28,1991.9,Why does my skin hate me?,2068.520930367051,2012.5737684559053,29,True
29,1991.9,Women (fearful),2068.520930367051,2012.5737684559053,30,True
30,1991.9,Trampolines,2068.520930367051,2012.5737684559053,31,True
31,1991.9,Millenium?,2068.520930367051,2012.5737684559053,32,True
32,1991.9,Money,2068.520930367051,2012.5737684559053,33,True
33,1991.9,Misbehaving in church,2068.520930367051,2012.5737684559053,34,True
34,1991.9,Am I good?,2068.520930367051,2012.5737684559053,35,True
35,1991.9,Brexit,2068.520930367051,2012.5737684559053,36,True
36,1991.9,Bugs,2068.520930367051,2012.5737684559053,37,True
37,1991.9,Cartoons,2068.520930367051,2012.5737684559053,38,True
38,1991.9,Chewing,2068.520930367051,2012.5737684559053,39,True
39,1991.9,Crash Bandicoot,2068.520930367051,2012.5737684559053,40,True
40,1991.9,Eugh these clothes,2068.520930367051,2012.5737684559053,41,True
41,1991.9,Exams,2068.520930367051,2012.5737684559053,42,True
42,1991.9,Famous people are predators,2068.520930367051,2012.5737684559053,43,True
43,1991.9,Famous people are racist,2068.520930367051,2012.5737684559053,44,True
44,1991.9,Famous people dying,2068.520930367051,2012.5737684559053,45,True
45,1991.9,Games,2068.520930367051,2012.5737684559053,46,True
46,1991.9,Getting into 12A movies,2068.520930367051,2012.5737684559053,47,True
47,1991.9,Getting swole,2068.520930367051,2012.5737684559053,48,True
48,1991.9,Going back to the same club,2068.520930367051,2012.5737684559053,49,True
49,1991.9,Harry Potter,2068.520930367051,2012.5737684559053,50,True
50,1991.9,I don't know anything,2068.520930367051,2012.5737684559053,51,True
51,1991.9,I know pretty much everything,2068.520930367051,2012.5737684559053,52,True
52,1991.9,Internet time,2068.520930367051,2012.5737684559053,53,True
53,1991.9,Jupyter,2068.520930367051,2012.5737684559053,54,True
54,1991.9,All the famous people are dying,2068.520930367051,2012.5737684559053,55,True
55,1991.9,Women (interested),2068.520930367051,2012.5737684559053,56,True
0,1992.9,Food/drink,129498.03778278126,129431.01151676619,1,True
1,1992.9,Need a nap,118945.10506173865,118863.12792734968,2,True
2,1992.9,What colour is that?,110663.99515445199,110599.11819938148,3,True
3,1992.9,What is that smell?,103856.1199252425,103765.70946304902,4,True
4,1992.9,Have I pooped myself?,95152.55482235538,95112.51499476861,5,True
5,1992.9,I'm going to be sick,95111.01250953253,95045.40302570748,6,True
6,1992.9,"No, don't carry me there",32384.02467287304,32365.000978790296,7,True
7,1992.9,Walking,26686.11143944626,26555.880291254856,8,True
8,1992.9,Teeth are the worst,21357.119355241655,21326.228008223843,9,True
9,1992.9,Bugs,16027.902835173434,15978.321450401641,10,True
10,1992.9,Who the f**k is this?,10607.877616296366,10571.592625640038,11,True
11,1992.9,My toy,5298.731109036397,5290.75403564775,12,True
12,1992.9,The meaning of life,3790.3501833502123,4168.916016281996,13,True
13,1992.9,Loud noises,3537.420896235698,3831.676966795977,14,True
14,1992.9,Light,3270.537999376128,3475.833104316551,15,True
15,1992.9,I'm cold,3012.2657217452497,3131.4700674753794,16,True
16,1992.9,Not supporting my own head,2755.2945888818235,2788.8418903241445,17,True
17,1992.9,"Oh no, THIS is grown up",2621.645545393716,2610.643165673335,18,True
18,1992.9,RUNNING,2621.645545393716,2610.643165673335,19,True
19,1992.9,Oversized t-shirts,2621.645545393716,2610.643165673335,20,True
20,1992.9,Not learning languages,2621.645545393716,2610.643165673335,21,True
21,1992.9,Alcohol,2621.645545393716,2610.643165673335,22,True
22,1992.9,The dark?,2621.645545393716,2610.643165673335,23,True
23,1992.9,Travel,2621.645545393716,2610.643165673335,24,True
24,1992.9,Tying my shoes,2621.645545393716,2610.643165673335,25,True
25,1992.9,Using chopsticks,2621.645545393716,2610.643165673335,26,True
26,1992.9,We MUST meet up more,2621.645545393716,2610.643165673335,27,True
27,1992.9,What is a KPI?,2621.645545393716,2610.643165673335,28,True
28,1992.9,When will I grow up?,2621.645545393716,2610.643165673335,29,True
29,1992.9,Why does my skin hate me?,2621.645545393716,2610.643165673335,30,True
30,1992.9,Women (fearful),2621.645545393716,2610.643165673335,31,True
31,1992.9,Trampolines,2621.645545393716,2610.643165673335,32,True
32,1992.9,Millenium?,2621.645545393716,2610.643165673335,33,True
33,1992.9,Money,2621.645545393716,2610.643165673335,34,True
34,1992.9,Famous people dying,2621.645545393716,2610.643165673335,35,True
35,1992.9,Am I good?,2621.645545393716,2610.643165673335,36,True
36,1992.9,Brexit,2621.645545393716,2610.643165673335,37,True
37,1992.9,Cartoons,2621.645545393716,2610.643165673335,38,True
38,1992.9,Chewing,2621.645545393716,2610.643165673335,39,True
39,1992.9,Crash Bandicoot,2621.645545393716,2610.643165673335,40,True
40,1992.9,Eugh these clothes,2621.645545393716,2610.643165673335,41,True
41,1992.9,Exams,2621.645545393716,2610.643165673335,42,True
42,1992.9,Famous people are predators,2621.645545393716,2610.643165673335,43,True
43,1992.9,Famous people are racist,2621.645545393716,2610.643165673335,44,True
44,1992.9,Games,2621.645545393716,2610.643165673335,45,True
45,1992.9,Misbehaving in church,2621.645545393716,2610.643165673335,46,True
46,1992.9,Getting into 12A movies,2621.645545393716,2610.643165673335,47,True
47,1992.9,Getting swole,2621.645545393716,2610.643165673335,48,True
48,1992.9,Going back to the same club,2621.645545393716,2610.643165673335,49,True
49,1992.9,Harry Potter,2621.645545393716,2610.643165673335,50,True
50,1992.9,I don't know anything,2621.645545393716,2610.643165673335,51,True
