Baby,Toddler,Child,Pre-teen,Early-teen,Mid-teen,Late-teen,Uni,Early career,Present
Food/drink,Food/drink,RUNNING,Who the f**k is this?,Harry Potter,Why does my skin hate me?,Food/drink,Food/drink,Getting swole,Brexit
Need a nap,Need a nap,Cartoons,Food/drink,Need a nap,Harry Potter,Need a nap,I'm going to be sick,Need a nap,Food/drink
What colour is that?,Chewing,Food/drink,RUNNING,Food/drink,Food/drink,I'm going to be sick,Travel,I don't know anything,Need a nap
What is that smell?,I'm going to be sick,The dark?,Cartoons,Why does my skin hate me?,Need a nap,Exams,What is that smell?,Food/drink,"Oh no, THIS is grown up"
Have I pooped myself?,Who the f**k is this?,Tying my shoes,Games,Oversized t-shirts,I know pretty much everything,Teeth are the worst,I know pretty much everything,Money,Money
I'm going to be sick,Bored. I might make noise,Teeth are the worst,Need a nap,Using chopsticks,Women (interested),I know pretty much everything,Money,When will I grow up?,Women (interested)
"No, don't carry me there",Teeth are the worst,Need a nap,Trampolines,Cartoons,Women (fearful),Women (interested),When will I grow up?,Women (interested),Women (fearful)
Bugs,"No, don't carry me there",Who the f**k is this?,Harry Potter,Games,Games,Women (fearful),Women (interested),Women (fearful),Jupyter
Loud noises,The dark?,Chewing,Why does my skin hate me?,Trampolines,Exams,Am I good?,Women (fearful),Brexit,We MUST meet up more
Who the frick is this?,What is that smell?,Games,Oversized t-shirts,RUNNING,Rap,Why does my skin hate me?,Am I good?,I know pretty much everything,Everyone is racist?
My toy,Loud noises,Loud noises,Using chopsticks,Eugh these clothes,Eugh these clothes,Travel,I don't know anything,What is that smell?,Hreflang
Eugh these clothes,Walking,Trampolines,Eugh these clothes,Not learning languages,Not learning languages,Games,Exams,What is KPI?,Cartoons
